,Closing_price,High_price,Low_price,Opening_price,Market_volume,Date
59,3158.0,3180.76,3141.69,3156.48,2751316,2020-12-07
60,3177.29,3184.13,3120.02,3158.9,3286303,2020-12-08
61,3104.2,3174.43,3088.0,3167.89,4100836,2020-12-09
62,3101.49,3142.1,3076.0,3088.99,3030186,2020-12-10
63,3116.42,3118.67,3072.82,3096.66,3064695,2020-12-11
64,3156.97,3190.47,3126.0,3143.0,4155794,2020-12-14
65,3165.12,3188.4999,3130.49,3181.01,3323686,2020-12-15
66,3240.96,3247.0,3163.68,3176.01,4427616,2020-12-16
67,3236.08,3263.51,3221.0,3250.0,3474347,2020-12-17
68,3201.65,3249.42,3171.6,3243.99,5995713,2020-12-18
69,3206.18,3226.9666,3166.0,3200.01,3836846,2020-12-21
70,3206.52,3222.0,3180.08,3202.8434,2381781,2020-12-22
71,3185.27,3210.13,3184.17,3205.0,2093787,2020-12-23
72,3172.69,3202.0,3169.0,3193.9,1451917,2020-12-24
73,3283.96,3304.0,3172.69,3194.0,5686787,2020-12-28
74,3322.0,3350.65,3281.223,3309.94,4872933,2020-12-29
75,3285.85,3342.1,3282.47,3341.0,3209310,2020-12-30
76,3256.93,3282.9219,3241.2,3275.0,2957206,2020-12-31
77,3186.63,3272.0,3144.02,3270.0,4411449,2021-01-04
78,3218.51,3223.38,3165.06,3166.01,2655548,2021-01-05
79,3138.38,3197.509,3131.16,3146.48,4394815,2021-01-06
80,3162.16,3208.542,3155.0,3157.0,3514545,2021-01-07
81,3182.7,3190.64,3142.2,3180.0,3537744,2021-01-08
82,3114.21,3156.3841,3110.0,3148.01,3669095,2021-01-11
83,3120.83,3142.1418,3086.0,3120.0,3514582,2021-01-12
84,3165.89,3189.95,3122.08,3128.44,3321244,2021-01-13
85,3127.47,3177.9999,3120.59,3167.52,3070919,2021-01-14
86,3104.25,3142.545,3095.17,3123.02,4243995,2021-01-15
87,3120.76,3145.0,3096.0,3107.0,3305142,2021-01-19
88,3263.38,3279.8,3175.0,3181.99,5309835,2021-01-20
89,3306.99,3348.55,3289.5675,3293.0,4945051,2021-01-21
90,3292.23,3321.91,3283.1644,3304.31,2821914,2021-01-22
91,3294.0,3363.89,3243.1463,3328.5,3749758,2021-01-25
92,3326.13,3338.0,3282.87,3296.3559,2955235,2021-01-26
93,3232.58,3346.52,3207.08,3341.49,4660158,2021-01-27
94,3237.62,3301.68,3228.69,3235.04,3149228,2021-01-28
95,3206.2,3236.99,3184.55,3230.0,4293556,2021-01-29
96,3342.88,3350.26,3235.025,3242.36,4160212,2021-02-01
