,Closing_price,High_price,Low_price,Opening_price,Market_volume,Date
58,16.9,17.29,16.26,16.3,8972672,2020-12-04
59,16.35,17.5,16.22,17.0,7386258,2020-12-07
60,16.94,17.21,15.93,16.37,16120163,2020-12-08
61,13.66,14.73,13.225,13.92,24357944,2020-12-09
62,14.12,14.41,13.05,13.12,7558922,2020-12-10
63,13.31,14.0,13.02,13.91,7496868,2020-12-11
64,12.72,13.4335,12.14,13.34,10007092,2020-12-14
65,13.85,14.02,12.48,12.78,8192856,2020-12-15
66,13.85,14.305,13.58,13.96,5865123,2020-12-16
67,14.83,14.98,13.59,13.96,8194902,2020-12-17
68,15.63,16.3,15.18,15.78,16618776,2020-12-18
69,15.53,16.348,15.28,15.81,9876128,2020-12-21
70,19.46,20.04,16.15,16.22,30687718,2020-12-22
71,20.57,22.3499,19.13,20.17,25830256,2020-12-23
72,20.15,21.48,19.95,21.01,6262174,2020-12-24
73,20.99,21.97,20.35,21.31,8965858,2020-12-28
74,19.38,21.07,18.56,20.82,9241441,2020-12-29
75,19.26,20.0,18.85,19.38,5934391,2020-12-30
76,18.84,19.8,18.8,19.25,6922652,2020-12-31
77,17.25,19.1,17.15,19.0,10022474,2021-01-04
78,17.37,18.0765,17.23,17.35,4961457,2021-01-05
79,18.36,18.98,17.33,17.34,6056248,2021-01-06
80,18.08,19.45,18.02,18.47,6129276,2021-01-07
81,17.69,18.3,17.08,18.18,6481960,2021-01-08
82,19.94,20.65,19.01,19.41,14927612,2021-01-11
83,19.95,20.4,19.3168,19.96,7060665,2021-01-12
84,31.4,38.65,20.03,20.42,144501736,2021-01-13
85,39.91,43.06,33.05,38.09,93717410,2021-01-14
86,35.5,40.75,34.01,38.49,46866358,2021-01-15
87,39.36,45.52,36.64,41.55,74721924,2021-01-19
88,39.12,41.1899,36.06,37.37,33471789,2021-01-20
89,43.03,44.75,37.0,39.23,57079754,2021-01-21
90,65.01,76.7573,42.32,42.59,197157946,2021-01-22
91,76.79,159.18,61.13,96.73,177874000,2021-01-25
92,147.98,150.0,80.2,88.56,178587974,2021-01-26
93,347.51,380.0,249.0,354.83,93396666,2021-01-27
94,193.6,483.0,112.25,265.0,58815805,2021-01-28
95,325.0,413.98,250.0,379.71,50566055,2021-01-29
96,225.0,322.0,212.0,316.56,37382152,2021-02-01
