,Closing_price,High_price,Low_price,Opening_price,Market_volume,Date
70,2.59,2.75,2.52,2.73,21686612,2020-12-22
71,2.56,2.65,2.54,2.58,15724765,2020-12-23
72,2.51,2.6,2.48,2.59,11094189,2020-12-24
73,2.39,2.63,2.36,2.63,23942699,2020-12-28
74,2.29,2.46,2.28,2.44,21086148,2020-12-29
75,2.16,2.3,2.13,2.3,40278438,2020-12-30
76,2.12,2.22,2.08,2.17,28234251,2020-12-31
77,2.01,2.2,2.0,2.2,29873796,2021-01-04
78,1.98,2.03,1.91,1.99,28148314,2021-01-05
79,2.01,2.23,1.97,2.03,67363337,2021-01-06
80,2.05,2.11,2.02,2.08,26150489,2021-01-07
81,2.14,2.211,2.07,2.09,39553343,2021-01-08
82,2.2,2.27,2.15,2.16,41695836,2021-01-11
83,2.29,2.39,2.235,2.24,41784333,2021-01-12
84,2.18,2.38,2.13,2.33,45847659,2021-01-13
85,2.18,2.32,2.13,2.22,49638794,2021-01-14
86,2.33,2.55,2.18,2.2,162356375,2021-01-15
87,3.06,3.2,2.57,2.8,256276010,2021-01-19
88,2.97,3.34,2.75,3.29,181862210,2021-01-20
89,2.98,3.06,2.85,3.0,64823844,2021-01-21
90,3.51,3.74,2.81,2.91,268273367,2021-01-22
91,4.42,4.88,3.85,4.71,443238115,2021-01-25
92,4.96,5.19,4.37,5.09,456850232,2021-01-26
93,19.9,20.36,11.01,20.34,1253253552,2021-01-27
94,8.63,16.5,6.51,11.98,591223928,2021-01-28
95,13.26,16.0,11.6,14.31,602193320,2021-01-29
96,13.3,17.25,12.91,17.0,434607989,2021-02-01
